True_Label,Email_ID,Email_Body,Binary_Label,LLM_Prediction
phishing,16,"Subject: Your Password for <legitimate portal> Account Has Been Compromised
We regret to inform you that we have detected an attempt to log into your account (<email address>) from an unauthorized application. The incident occurred on <date> at <time> (Korea Standard Time), and the IP address used was <IP address> located in Washington, U.S.
In order to prevent any further unauthorized access to your account, we recommend that you change your password immediately. You can do this by clicking on the following link:
<legitimate password-reset URL>
Please note that if you fail to change your password, we may have to permanently delete or close your account in accordance with our security policy.",phishing,phishing
legitimate,66,"Subject: Invitation to Present at OFR-University of Michigan Fintech Conference, Nov. 16-17, 2017
Dear Mr. Quan,
The U.S. Office of Financial Research and the University of Michigan's Center on Finance, Law, and Policy
invite you to serve as a panelist at our upcoming financial stability conference.
""Fin Tech Risks and Opportunities: An Interdisciplinary Approach,"" will take place at the University of Michigan
in Ann Arbor, Michigan from Thursday, November 16 - Friday, November 17, 2017. This two-day event will
bring together a wide range of researchers, policymakers, students, and practitioners from various disciplines.
Financial technology, or Fin Tech, can be traced back to the introduction of the telegraph in the 1860s.
Between then and the 1980s, most FinTech advancements were record-keeping and data systems found in
the back offices of financial institutions, out of sight of the public. As internet technology became more
available, however, FinTech evolved rapidly. Financial firms digitized their processes, and companies began
introducing consumer-facing products such as online banking and PayPal. Today, FinTech continues to disrupt
and to evolve, not only in how financial products and services are delivered, but who delivers them. Regulators
and market participants face challenges in understanding and balancing the benefits of FinTech against
Page 1 of 50
potential risks.
Innovation helps catalyze growth and new opportunities while generating new risks. Regulatory structures in
place could fail to accommodate changes in the financial marketplace. Regulators may overreact to new
technologies, stifling innovation and locking in old forms of doing business. At the same time, regulatory
complacency can have disastrous results, permitting the buildup of systemic risk or widespread consumer
harms. This conference will explore methodologies that the private sector, researchers, and policymakers can
use harness the upside potential of financial innovation while reducing the downside risks.
The symposium format will include keynote speakers and panel discussions. We invite you to make a short
presentation about your work as part of Panel 5, ""Reg Tech: How Can Regulators Be Part of the Solution?"" A
moderated discussion with an audience question and answer session will follow the panel.
All speakers are invited to a pre-conference dinner the evening of Wednesday November 15, and a larger
dinner on Thursday, November 16. The University of Michigan will cover your conference travel and hotel
costs if those costs are not covered by your institution.
To assist us with planning, please let us know if you will serve as a panelist by Friday, July 21, 2017.
Sincerely,
Richard Berner, Director, Office of Financial Research
Michael S. Barr, Faculty Director, Center on Finance, Law, and Policy; Roy F. and Jean Humphrey Proffitt
Professor of Law, University of Michigan Law School",legitimate,legitimate
phishing,12,"Subject: [Invitation] US Policy Toward North Korea Conference
Dear <name of target expert>,
I hope you and your family are enjoying a lovely holiday and a restful season.
It is my privilege to invite you to provide a keynote address for a private workshop, hosted by the <name of legitimate think tank> to discuss the US policy toward North Korea. Given developments in North Korea since the collapse of US-DPRK and inter-Korean negotiations in 2019, as well as the changing strategic environment in East Asia, the traditional US approach to North Korea is unlikely to be effective going forward. It is time to question old assumptions and begin crafting a new strategy/approach that takes into consideration current strategic realities.
We understand your schedule is quite busy, but we were hoping you could join us at least for that lunch (12:30–1:30pm EST). If you are able to join in person, we would cover your travel and accommodations to attend, and can provide you with a modest $500 speaker fee. If you are not available to join in person, we can accommodate remote participation as well.
Please let me know if you might be willing to join us and we can provide more details about the event and logistics right away. I look forward to hearing from you soon.
All the best,
<name of legitimate think tank staff>",phishing,phishing
phishing,43,"Subject: Request for comments

Greetings,
I hope you’ve been well! This is <redacted> with <redacted>.
North Korea Fires Powerful Missile on 4 Oct using Old Playbook in a New Worlds. The last time Pyongyang launched a weapon over Japan was in 2017, when Donald J. Trump was president and Kim Jong-un seemed intent on escalating conflict with Washington.

I have some questions regarding this:

Would Pyongyang conduct its next nuclear test soon after China’s Communist Party Congress in mid-October?
May a quieter approach to North Korean aggression be warranted?
Would Japan increase the defense budget and a more proactive defense policy?
I would be very grateful if you could send me your answers within 5 days.
Have a good weekend.

Sincerely,
<redacted>",phishing,phishing
ai-generated phishing,147,"Subject: North Korea Test-Fired Missiles – Analysis Request  

Dear [Recipient Name],  

We’ve received several inquiries regarding North Korea’s missile tests. Please check the article below for more information:  
[link]  

Looking forward to hearing your thoughts.  

Best regards,  
Chad O'Carroll  
Chief Executive Officer, Korea Risk Group
",phishing,phishing
legitimate,52,"A new sign-in to your Google Account was detected on a Linux device. If this was you, you don’t need to do anything. If not, we’ll help you secure your account. Check activity to verify the sign-in. You can also see recent security activity at your Google Account’s notifications. You received this email to inform you of important changes to your Google Account and services",legitimate,legitimate
phishing,28,"Dear Citizens,

The ministry of health and family welfare, government of India has announced a mandatory COVID-19 testing for all residents of Delhi, Mumbai, Hyderabad, Chennai and Ahmedabad above age of 40 years.

Government of India has decided to reimburse testing cost incurred.

A medical staff will come to your residence to collect samples.

Please immediately register using link below for all free COVID-19 test. Do not forget to provide complete contact details with PAN no.

link [<URL>]

Thank you for your support in keeping India's fight against COVID-19.

Thank You: Ministry of Health and Family Welfare (MOHFW) Nirman Bhavan, Maulana Azad Road New Delhi 110011",phishing,phishing
phishing,5,"Hi [redacted],

You recently changed your security settings so that your Google Account [redacted@gmail.com] is no longer protected by modern security standards.

If you made this change
You can make your account safer again by undoing this change at https://www.google.com/settings/security then switching to apps made by Google such as Gmail to access your account.

If you did not make this change
Please recovery your account by clicking the button below. Whoever made the change knows your password; we recommend that you change it right away.

[Recovery account]

Sincerely,
The Google Accounts team

This email can't receive replies. For more information, visit the Google Accounts Help Centre.",phishing,phishing
phishing,33,"Your active cooperation is requested.

Attachment:
(Submission) Application Form.hwp (231.3 KB)

Hello,
This is the 담당자 (person in charge) of the Ministry of Unification's Dispersed Families Information System (RSS).

As you may know, the Ministry of Unification is conducting a nationwide survey of separated families between the North and South. (June 11 to August 10)

Types of Application
New Application: Can apply as an individual or as a family of one or more members from a separated family.

Applicants from the Korean War and post-war North-South families, as well as North Korean defectors, are also eligible to apply.
Change of Application: Applicants who have changed their address or contact information.
Cancellation Application: Applicants who no longer wish to receive news or interact with separated families.
The applications submitted will be forwarded to the Korean Red Cross, and all data received through other application methods will be registered and preserved in the ""Separated Family Information System"" database. It will be used for selecting candidates for inter-Korean family reunions in coordination with the North-South authorities.

Please share this attachment within your organization.

Please send it by email by 12:00 AM on Friday, August 10.

Thank you.",phishing,phishing
ai-generated phishing,143,"Subject: Results from the Unification and North Korea Conference  

Hello,  

Thank you for your participation in the Unification and North Korea Academic Conference. We will be sending out the results of the joint review between September 5 and 7.  

Those who submitted papers will receive a modest honorarium.  

Best regards,  
Korea Global Forum 2016 Organizing Committee  
Seoul, Yonsei University  
",phishing,legitimate
legitimate,86,"Hi Customer,

We are updating our Terms of Use with changes taking effect on April 24, 2024.

As part of our commitment to offer you safe, secure, and reliable services, we periodically review and update our Terms and Policies. The purpose of this communication is to provide you greater transparency and clarity around these updates. Notable changes include the following:

Updates that clarify the support we offer via Live Chat and Chatbot.
Further terms that emphasize the applicability of slashing or similar penalties towards staking rewards.
Certain clarificatory changes to the Arbitration section of our Terms.
We encourage you to familiarize yourself with these changes by reviewing the updated Terms of Use. These updates will go into effect for new customers immediately and existing customers on April 24, 2024.

By continuing to use the Binance.US platform from that date onward, you agree and will be subject to our updated Terms of Use. If you do not agree to these changes, you may close your Binance.US account at any time, as long as your account is in good standing.

Thank you for being a valued member of the Binance.US community!

The Binance.US Team",legitimate,legitimate
legitimate,87,"Subject: New Customer Set-up
I updated the procedures for setting up new customers to the SharePoint site. Let me know if you have feedback.

Have a great day!
Jane

Phone Number: (123) 456-7890",legitimate,legitimate
phishing,17,"Subject: <name of legitimate Korean journal program>
Greetings,
My name is <name of writer>, and I am a writer for <name of legitimate Korean journal
program>.
I am writing to you today because I am currently preparing for a program related to North
Korean issues. Professor <name of professor> of <actual Korean university>, whom I
contacted earlier, recommended you as an expert on this issue. I would be grateful if you
could spare some time to answer a few questions.
Thank you for considering my request. I look forward to hearing from you soon.
Best regards,",phishing,phishing
phishing,11,"Subject: Flight ticket payment is complete ~ Confirmation
Attachment: Air-Ticket 확인증.html (29 KB)

Hello,

This is an email sent to [name blurred].

Regarding the project, we are sending the traveler’s personal details along with this notice; please refer to it for your work.
Please check the attached PDF file for the ticket confirmation.

Airfare ₩18,900 + Fuel surcharge ₩16,500 + Tax/other fees ₩4,000 + Issuance fee ₩1,000 = ₩40,400

Download availability: 3 days (Download available for 3 days) – until 2022-11-29 (Asia/Seoul)

Korean Air",phishing,phishing
legitimate,82,"Subject: Notice of Data Breach​

Notice of Data Breach
Dear [Member],
This letter is to inform you of a data security incident that impacted the username and salted and hashed password you may have used to access your American Bar Association (“ABA”) online account. The ABA takes the security of your information very seriously and sincerely apologizes for any concern this incident may cause. While the ABA has no indication that your personal information has been misused, this letter contains information about what occurred, actions that have been taken to prevent a reoccurrence, and steps you can take to protect your information.​
oag.ca.gov
What happened?
On March 17, 2023, the ABA observed unusual activity on its network and immediately activated its incident response plan. Cybersecurity experts were retained to assist with the investigation. The investigation determined that an unauthorized third party gained access to the ABA network beginning on or about March 6, 2023, and may have acquired certain information. By March 23, 2023, the investigation identified that the unauthorized party had acquired usernames and hashed and salted passwords that you may have used to access ABA online accounts.​
oag.ca.gov
What information was involved?
The information involved was the username and hashed and salted password you used to log into the ABA website. To be clear, passwords were not exposed in plain text – they were stored in a protected (hashed and salted) form. The ABA is notifying all affected individuals out of an abundance of caution. (If you reused the same credentials on the new ABA website, please update your password.)​

What we are doing.
The ABA has taken measures to secure its systems and prevent future attacks. We removed the unauthorized access, engaged cybersecurity specialists, and reviewed our network security configurations to address evolving threats.​

What you can do.
Although we have no evidence of misuse of your information, we encourage you to change any password that is similar to the one involved in this incident. Please remain vigilant for any unauthorized attempts to access your accounts. If you use the ABA Career Center, consider changing that password as well. Enclosed with this email is additional information on protecting yourself from identity theft.​

For more information.
If you have any questions, please call our dedicated incident response line at 1-888-411-8698 (Monday–Friday, 9:00am–9:00pm Eastern). The ABA appreciates your patience and understanding, and we sincerely apologize for any inconvenience or concern this incident may cause you.​
oag.ca.gov
Sincerely,
Annaliese Fleming
Sr. Associate Executive Director and General Counsel, American Bar Association​",legitimate,legitimate
ai-generated phishing,134,"Subject: Urgent: Complete Your Application for Dispersed Families Survey  

Dear [Recipient Name],  

This is a friendly reminder from the Ministry of Unification regarding the ongoing survey for separated families. The registration period is from June 11 to August 10.  

Kindly review and submit your application, whether it's a new application, a change of contact details, or a cancellation request. Your timely submission will help with the processing for inter-Korean family reunions.  

Please share the attached application form within your organization, and send it back by Friday, August 10 at the latest.  

Thank you for your cooperation.  

Best regards,  
[Sender Name]  
Ministry of Unification, Dispersed Families Information System  
Attachment: Application Form.hwp (231.3 KB)
",phishing,phishing
ai-generated phishing,138,"Subject: Business Support During COVID-19 - New Financial Plan  

Dear Singapore Business Members,  

Thank you for your support during the COVID-19 shutdown. To help ease the impact on businesses, the Singapore government has launched several partnership programs, including a new $750 subsidy for each company.  

Please register your business to receive this subsidy by clicking the link below:  
[link]  

Thank you for your continued cooperation.  

Best regards,  
Ministry of Manpower, Singapore
",phishing,phishing
